query,занятость,по должности-лемме,по дополнительному признаку,по условиям,общие фразы
водитель курьер автомобиля вакансии,NaN,водитель,NaN,NaN,0
водитель курьер доставку,NaN,водитель,NaN,NaN,0
водитель курьер на авто работодателя,NaN,водитель,NaN,NaN,0
водитель курьер на легковом авто,NaN,водитель,NaN,NaN,0
водитель курьер на личном авто вакансии,NaN,водитель,NaN,NaN,0
водитель курьер на личном легковом авто,NaN,водитель,NaN,NaN,0
водитель курьер на своем авто,NaN,водитель,NaN,NaN,0
ищу работу кладовщика свежие вакансии,NaN,кладовщик,NaN,NaN,0
ищу работу курьера на личном авто,NaN,курьер,NaN,NaN,0
комплектовщик 2 2 вакансии,NaN,комплектовщик,NaN,NaN,0
комплектовщик без опыта вакансии,NaN,комплектовщик,['без опыта'],NaN,0
комплектовщик вакансии без вахты,['вахта'],комплектовщик,NaN,NaN,0
комплектовщик вакансии вахта 15 15,['вахта'],комплектовщик,NaN,NaN,0
курьер автомобилем выходные,['по выходным'],курьер,NaN,NaN,0
курьер водитель с личным автомобилем вакансии,NaN,курьер,NaN,NaN,0
курьер на авто в интернет магазин вакансии,NaN,курьер,NaN,NaN,0
курьер на авто работа,NaN,курьер,NaN,NaN,0
курьер на легковом авто,NaN,курьер,NaN,NaN,0
курьер на личном авто с ежедневной оплатой,NaN,курьер,NaN,с ежедневной оплатой,0
курьер на личном легковом авто вакансии,NaN,курьер,NaN,NaN,0
курьер на своем авто,NaN,курьер,NaN,NaN,0
курьер с личным автомобилем ежедневной оплатой,NaN,курьер,NaN,с ежедневной оплатой,0
курьер с личным автомобилем с ежедневной,NaN,курьер,NaN,с ежедневной оплатой,0
курьер со своим авто вакансии,NaN,курьер,NaN,NaN,0
менеджер по работе с маркетплейсами обучение,NaN,менеджер,NaN,NaN,0
найти работу курьером на личном авто,NaN,курьер,NaN,NaN,0
ооо альбатрос вакансии,NaN,NaN,NaN,NaN,1
оператор склада вакансии без опыта работы,NaN,модератор,['без опыта'],NaN,0
работа водителем курьером,NaN,водитель,NaN,NaN,0
работа водитель курьер на личном легковом автомобиле,NaN,водитель,NaN,NaN,0
работа грузового авто от работодателя,NaN,NaN,NaN,NaN,1
работа доставка курьером на личном авто,NaN,курьер,NaN,NaN,0
работа ищу курьер на личном автомобиле,NaN,курьер,NaN,NaN,0
работа кладовщиком от прямых работодателей,NaN,кладовщик,NaN,NaN,0
работа комплектовщиком вахтой на складе,['вахта'],комплектовщик,NaN,NaN,0
работа комплектовщиком с проживанием,NaN,комплектовщик,NaN,с проживанием,0
работа комплектовщиком сборщиком,NaN,комплектовщик,NaN,NaN,0
работа курьер авто,NaN,курьер,NaN,NaN,0
работа курьер автомобиль,NaN,курьер,NaN,NaN,0
работа курьер без личного автомобиля,NaN,курьер,NaN,NaN,0
работа курьер доставка на авто,NaN,курьер,NaN,NaN,0
работа курьер на авто работодателя,NaN,курьер,NaN,NaN,0
работа курьером личном авто область,NaN,курьер,NaN,NaN,0
работа курьером на авто вакансии,NaN,курьер,NaN,NaN,0
работа курьером на авто подработка,['подработка'],курьер,NaN,NaN,0
работа курьером на личном авто свободный,NaN,курьер,NaN,NaN,0
работа курьером на своем авто легковом,NaN,курьер,NaN,NaN,0
работа курьером на собственном авто,NaN,курьер,NaN,NaN,0
работа на грузовом авто перевозки,NaN,NaN,NaN,NaN,1
работа продавцом кассиром,NaN,продавец,NaN,NaN,0
работа свежие вакансии кладовщика,NaN,кладовщик,NaN,NaN,0
работа склад вакансии от работодателя,NaN,NaN,NaN,NaN,1
работа склады комплектовщик,NaN,комплектовщик,NaN,NaN,0
работа юристом за границей,NaN,юрист,NaN,NaN,0
склад вакансии от работодателя,NaN,NaN,NaN,NaN,1
супермаркет вакансии курьера авто,NaN,курьер,NaN,NaN,0
супермаркет водитель курьер,NaN,водитель,NaN,NaN,0
требуется курьеры с автомобилем,NaN,курьер,NaN,NaN,0
авто курьер вакансии,NaN,курьер,NaN,NaN,0
вакансии комплектовщик сменный график,NaN,комплектовщик,NaN,NaN,0
вакансии курьер авто,NaN,курьер,NaN,NaN,0
вакансии упаковщик комплектовщик,NaN,парковщик,NaN,NaN,0
вакансия курьера со своим авто,NaN,курьер,NaN,NaN,0
водитель курьер в компанию,NaN,водитель,NaN,NaN,0
водитель курьер категории вакансии,NaN,водитель,NaN,NaN,0
водитель курьер на личном авто,NaN,водитель,NaN,NaN,0
водитель курьер на своем автомобиле,NaN,водитель,NaN,NaN,0
водитель курьер с ежедневной оплатой,NaN,водитель,NaN,с ежедневной оплатой,0
грузчик на доставку вакансии,NaN,грузчик,NaN,NaN,0
ищу работу грузового автомобиля,NaN,NaN,NaN,NaN,1
ищу работу кладовщика,NaN,кладовщик,NaN,NaN,0
комплектовщик вакансии 5 2,NaN,комплектовщик,NaN,NaN,0
курьер водитель вакансии,NaN,курьер,NaN,NaN,0
курьер доставка вакансии на личном авто,NaN,курьер,NaN,NaN,0
курьер на авто компании вакансии,NaN,курьер,NaN,NaN,0
курьер на автомобиль компании,NaN,курьер,NaN,NaN,0
курьер на день на автомобиле,['на неполный день'],курьер,NaN,NaN,0
курьер на легковом автомобиле,NaN,курьер,NaN,NaN,0
курьер на своем автомобиле вакансии,NaN,курьер,NaN,NaN,0
курьер с автомобилем вакансии,NaN,курьер,NaN,NaN,0
курьер с личным автомобилем вакансии,NaN,курьер,NaN,NaN,0
найти работу кладовщика,NaN,кладовщик,NaN,NaN,0
найти работу курьер на авто,NaN,курьер,NaN,NaN,0
обучение по расчету заработной платы,NaN,NaN,NaN,NaN,1
работа водителем курьером на автомобиле,NaN,водитель,NaN,NaN,0
работа водителем курьером на своем авто,NaN,водитель,NaN,NaN,0
работа грузчик кладовщик,NaN,грузчик,NaN,NaN,0
работа зарплата каждый день в москве,['на неполный день'],NaN,NaN,NaN,0
работа кладовщиком 5 2,NaN,кладовщик,NaN,NaN,0
работа кладовщиком ювао,NaN,кладовщик,NaN,NaN,0
работа на грузовом автомобиле до 1,NaN,NaN,NaN,NaN,1
работа на грузовом автомобиле работодателя,NaN,NaN,NaN,NaN,1
работа на личном грузовом авто 5 тонн,NaN,NaN,NaN,NaN,1
работа на личном грузовом авто области,NaN,NaN,NaN,NaN,1
работа на своем авто доставка курьер,NaN,курьер,NaN,NaN,0
работа на своем грузовом автомобиле 5,NaN,NaN,NaN,NaN,1
работа с выкупом грузового автомобиля,NaN,NaN,NaN,NaN,1
работник химчистки вакансии,NaN,кухонный работник,NaN,NaN,0
свежие вакансии курьер на авто,NaN,курьер,NaN,NaN,0
свежие вакансии курьер на своем авто,NaN,курьер,NaN,NaN,0
супермаркет работа курьер на авто,NaN,курьер,NaN,NaN,0
фарпост работа артем,NaN,NaN,NaN,NaN,1
фарпост уссурийск вакансии,NaN,NaN,NaN,NaN,1
формовщик теста вакансии,NaN,формовщик,NaN,NaN,0
яндекс такси вакансии,NaN,NaN,NaN,NaN,1
вакансии для мужчин комплектовщик,NaN,комплектовщик,['для мужчин'],NaN,0
вакансии дня курьер,['на неполный день'],курьер,NaN,NaN,0
вакансии кладовщик 2 2,NaN,кладовщик,NaN,NaN,0
вакансии на складах,NaN,NaN,NaN,NaN,1
вакансия авто курьер с ежедневной оплатой,NaN,курьер,NaN,с ежедневной оплатой,0
вакансия работа грузчик комплектовщик,NaN,грузчик,NaN,NaN,0
водитель курьер с личным автомобилем ежедневная оплата,NaN,водитель,NaN,с ежедневной оплатой,0
грузчики комплектовщики вакансии,NaN,грузчик,NaN,NaN,0
ищу работу курьер на авто,NaN,курьер,NaN,NaN,0
ищу работу курьером на своем автомобиле,NaN,курьер,NaN,NaN,0
кладовщик без опыта вакансии,NaN,кладовщик,['без опыта'],NaN,0
курьер автомобилем график,NaN,курьер,NaN,NaN,0
курьер зоотоваров для магазина,NaN,курьер,NaN,NaN,0
мясник работа,NaN,мясник,NaN,NaN,0
работа авто курьером,NaN,курьер,NaN,NaN,0
работа автомобиле курьером свободный график,NaN,курьер,NaN,NaN,0
работа водителем грузового авто работодателя,NaN,водитель,NaN,NaN,0
работа на складе свежие,NaN,NaN,NaN,NaN,1
работа на собственном грузовом авто,NaN,NaN,NaN,NaN,1
работа с грузовым авто до тонны,NaN,NaN,NaN,NaN,1
работа с ежедневной оплатой на своем авто,NaN,NaN,NaN,с ежедневной оплатой,0
работа свой грузовой автомобиль 1 тонна,NaN,NaN,NaN,NaN,1
склады вакансии,NaN,NaN,NaN,NaN,1
склады работа,NaN,NaN,NaN,NaN,1
экспресс курьер,NaN,курьер,NaN,NaN,0
яндекс еда работа,NaN,NaN,NaN,NaN,1
яндекс курьер свободный график,NaN,курьер,NaN,NaN,0
авто курьер на личном автомобиле вакансии,NaN,курьер,NaN,NaN,0
вакансия курьер выходного дня,"['по выходным', 'на неполный день']",курьер,NaN,NaN,0
водитель категории в на межгород,NaN,водитель,NaN,NaN,0
инженер пто обучение без опыта,NaN,инженер,['без опыта'],NaN,0
ищу работу водителем такси,NaN,водитель,NaN,NaN,0
кладовщик без опыта работы,NaN,кладовщик,['без опыта'],NaN,0
курьер с автомобилем ежедневная оплата,NaN,курьер,NaN,с ежедневной оплатой,0
курьерская служба день в день,"['на неполный день', 'на неполный день']",NaN,NaN,NaN,0
найти работу в такси,NaN,NaN,NaN,NaN,1
найти работу курьером на личном автомобиле,NaN,курьер,NaN,NaN,0
найти работу со своей газелью,NaN,NaN,NaN,NaN,1
нужен курьер для доставки,NaN,курьер,NaN,NaN,0
работа iqos,NaN,NaN,NaN,NaN,1
работа авто курьером с ежедневной оплатой,NaN,курьер,NaN,с ежедневной оплатой,0
работа администратором салона красоты,NaN,администратор,NaN,NaN,0
работа в пункте выдачи озон отзывы,NaN,NaN,NaN,NaN,1
работа кладовщик ресторан,NaN,кладовщик,NaN,NaN,0
работа кладовщиком свежие,NaN,кладовщик,NaN,NaN,0
работа курьер личный авто легковой,NaN,курьер,NaN,NaN,0
работа курьером в яндекс доставке,NaN,курьер,NaN,NaN,0
работа на грузовом автомобиле до тонны,NaN,NaN,NaN,NaN,1
работа на своем грузовом автомобиле,NaN,NaN,NaN,NaN,1
работа склад,NaN,NaN,NaN,NaN,1
работа юрисконсультом,NaN,юрисконсульт,NaN,NaN,0
яндекс авто курьер,NaN,курьер,NaN,NaN,0
1с работа с документами,NaN,NaN,NaN,NaN,1
абота персональным водителем свежие вакансии 257,NaN,водитель,NaN,NaN,0
вакансии кредитный инспектор,NaN,инспектор,NaN,NaN,0
вакансии мастер,NaN,NaN,NaN,NaN,1
вакансии проводника ржд без опыта,NaN,бортпроводник,['без опыта'],NaN,0
вакансия ветеринар,NaN,NaN,NaN,NaN,1
вакансия курьер ежедневные выплаты,NaN,курьер,NaN,с ежедневной оплатой,0
вахта работа,['вахта'],вахтер,NaN,NaN,0
водитель категории в вакансии,NaN,водитель,NaN,NaN,0
водитель курьер с личным автомобилем,NaN,водитель,NaN,NaN,0
водитель на выходные дни вакансии,"['по выходным', 'на неполный день']",водитель,NaN,NaN,0
водитель на межгород категория с,NaN,водитель,NaN,NaN,0
водитель с личным грузовым автомобилем вакансии,NaN,водитель,NaN,NaN,0
город вахта,['вахта'],вахтер,NaN,NaN,0
инженер пгс вакансии,NaN,инженер,NaN,NaN,0
курьер выходного дня вакансии,"['по выходным', 'на неполный день']",курьер,NaN,NaN,0
курьер выходные дни,"['по выходным', 'на неполный день']",курьер,NaN,NaN,0
курьер доставка цветов,NaN,курьер,NaN,NaN,0
курьер на доставку на завтра,NaN,курьер,NaN,NaN,0
курьер на машине компании вакансии,NaN,курьер,NaN,NaN,0
курьер служба доставки работа,NaN,курьер,NaN,NaN,0
курьеры подработка ежедневные выплаты,['подработка'],курьер,NaN,с ежедневной оплатой,0
найти работу водителем категории в с,NaN,водитель,NaN,NaN,0
приглашаем на работу водителей,NaN,водитель,NaN,NaN,0
работа агентом по недвижимости,NaN,NaN,NaN,NaN,1
работа в озон отзывы водителей курьеров,NaN,водитель,NaN,NaN,0
работа водителем на личном грузовом авто,NaN,водитель,NaN,NaN,0
работа водителем на своем минивэне,NaN,водитель,NaN,NaN,0
работа вожатый в лагерь,NaN,вожатый,NaN,NaN,0
работа гибкий график для студентов,NaN,NaN,['для студентов'],NaN,0
работа грузовом авто рефрижератор,NaN,NaN,NaN,NaN,1
работа кладовщик овощи фрукты,NaN,кладовщик,NaN,NaN,0
работа кладовщик от прямых,NaN,кладовщик,NaN,NaN,0
работа кладовщиком график,NaN,кладовщик,NaN,NaN,0
работа комплектовщик свежие,NaN,комплектовщик,NaN,NaN,0
работа комплектовщика от прямых,NaN,комплектовщик,NaN,NaN,0
работа комплектовщики женщины,NaN,комплектовщик,['для женщин'],NaN,0
работа комплектовщиком с ежедневной оплатой,NaN,комплектовщик,NaN,с ежедневной оплатой,0
работа курьера личный автомобиль свежий вакансии,NaN,курьер,NaN,NaN,0
работа курьером на машине компании,NaN,курьер,NaN,NaN,0
работа курьером на своем авто свободный график,NaN,курьер,NaN,NaN,0
работа курьером на своем автомобиле,NaN,курьер,NaN,NaN,0
работа курьером срочно,NaN,курьер,NaN,NaN,0
работа математиком,NaN,математик,NaN,NaN,0
работа на личном грузовом автомобиле,NaN,NaN,NaN,NaN,1
работа на личном легковом авто,NaN,NaN,NaN,NaN,1
работа на межгороде водителем,NaN,водитель,NaN,NaN,0
работа на своем авто межгород,NaN,NaN,NaN,NaN,1
работа на своем грузовом авто,NaN,NaN,NaN,NaN,1
работа сео удаленно,['удаленная'],NaN,NaN,NaN,0
работа со своей газелью,NaN,NaN,NaN,NaN,1
работа такси на своем авто,NaN,NaN,NaN,NaN,1
ржд работа вакансии,NaN,NaN,NaN,NaN,1
супермаркет работа курьером на личном авто,NaN,курьер,NaN,NaN,0
требуется водитель межгород,NaN,водитель,NaN,NaN,0
устроиться на работу в яндекс доставку,NaN,NaN,NaN,NaN,1
фарпост владивосток работа уборщица,NaN,"уборщик, горничная",NaN,NaN,0
хх вакансии водитель,NaN,водитель,NaN,NaN,0
яндекс доставка курьер на авто,NaN,курьер,NaN,NaN,0
администратор кассир вакансии,NaN,администратор,NaN,NaN,0
ассистент вакансии,NaN,ассистент,NaN,NaN,0
вакансии вахта от прямых работодателей,['вахта'],вахтер,NaN,NaN,0
вакансии матрос 1,NaN,матрос,NaN,NaN,0
вакансии машинист экскаватора от работодателя,NaN,машинист,NaN,NaN,0
вакансии на дому,['на дому'],NaN,NaN,NaN,0
вакансия в бизнес такси,NaN,NaN,NaN,NaN,1
вакансия курьер водитель авто,NaN,курьер,NaN,NaN,0
вакансия курьера свободный график,NaN,курьер,NaN,NaN,0
вакансия требуется водитель,NaN,водитель,NaN,NaN,0
владивосток работа,NaN,NaN,NaN,NaN,1
водитель категории в и с,NaN,водитель,NaN,NaN,0
водитель категории в на авто компании,NaN,водитель,NaN,NaN,0
водитель курьер на авто компании,NaN,водитель,NaN,NaN,0
водитель курьер свободный график,NaN,водитель,NaN,NaN,0
водитель межгород,NaN,водитель,NaN,NaN,0
водитель с личным грузовым авто,NaN,водитель,NaN,NaN,0
водитель со своей машиной,NaN,водитель,NaN,NaN,0
водитель такси на авто компании вакансии,NaN,водитель,NaN,NaN,0
грузовой автомобиль на постоянную работу,NaN,NaN,NaN,NaN,1
грузоперевозки на своей газели найти работу,NaN,NaN,NaN,NaN,1
заработок в яндекс доставке на своем авто,NaN,NaN,NaN,NaN,1
инкассатор работа,NaN,инкассатор,NaN,NaN,0
ищу работу водителем выходного дня,"['по выходным', 'на неполный день']",водитель,NaN,NaN,0
ищу работу на своей газели,NaN,NaN,NaN,NaN,1
кладовщик магазина вакансии,NaN,кладовщик,NaN,NaN,0
комплектовщики свежие вакансии,NaN,комплектовщик,NaN,NaN,0
курьер для спорт магазинов,NaN,курьер,NaN,NaN,0
курьерская служба работа курьером,NaN,курьер,NaN,NaN,0
оператор плазменной резки вакансии,NaN,модератор,NaN,NaN,0
подработка в такси на своем авто,['подработка'],NaN,NaN,NaN,0
подработка курьером в свободный график,['подработка'],курьер,NaN,NaN,0
работа вахтой дорожный рабочий,['вахта'],вахтер,NaN,NaN,0
работа водителем 2 2,NaN,водитель,NaN,NaN,0
работа водителем категории б на автомобиле работодателя,NaN,водитель,NaN,NaN,0
работа водителем на своем автомобиле,NaN,водитель,NaN,NaN,0
работа водителем со своим грузовым авто,NaN,водитель,NaN,NaN,0
работа водителем экспедитором свежие,NaN,водитель,NaN,NaN,0
работа для девушек 18 без опыта,NaN,NaN,['без опыта'],NaN,0
работа и точка админ,NaN,NaN,NaN,NaN,1
работа капитана судна,NaN,капитан,NaN,NaN,0
работа кладовщиком в свао,NaN,кладовщик,NaN,NaN,0
работа комплектовщик свежие вакансии,NaN,комплектовщик,NaN,NaN,0
работа комплектовщиком от прямых работодателей,NaN,комплектовщик,NaN,NaN,0
работа косметолог,NaN,косметолог,NaN,NaN,0
работа курьер на авто компании,NaN,курьер,NaN,NaN,0
работа курьера со своим авто,NaN,курьер,NaN,NaN,0
работа курьером сегодня,NaN,курьер,NaN,NaN,0
работа лифтер,NaN,лифтер,NaN,NaN,0
работа механизатором в сельском хозяйстве,NaN,механизатор,NaN,NaN,0
работа на своем,NaN,NaN,NaN,NaN,1
работа на своем авто,NaN,NaN,NaN,NaN,1
работа на своем авто в свободное время,NaN,NaN,NaN,NaN,1
работа на складе свежие вакансии,NaN,NaN,NaN,NaN,1
работа на собственной машине,NaN,NaN,NaN,NaN,1
работа на собственном грузовом автомобиле,NaN,NaN,NaN,NaN,1
работа ремонт холодильного оборудования,NaN,NaN,NaN,NaN,1
работа риэлтора,NaN,NaN,NaN,NaN,1
работа санлайт,NaN,NaN,NaN,NaN,1
работа сегодня для девушки,NaN,NaN,NaN,NaN,1
работа сутки через двое,NaN,NaN,NaN,NaN,1
работа яндекс грузоперевозки,NaN,NaN,NaN,NaN,1
работать курьером,NaN,курьер,NaN,NaN,0
разработка web приложений,NaN,NaN,NaN,NaN,1
такси курьер,NaN,курьер,NaN,NaN,0
хх ру вакансии,NaN,NaN,NaN,NaN,1
яндекс доставка для курьеров,NaN,курьер,NaN,NaN,0
яндекс доставка работа на машине,NaN,NaN,NaN,NaN,1
114 работа в корее,NaN,NaN,NaN,NaN,1
farpost уссурийск работа,NaN,NaN,NaN,NaN,1
fesco вакансии,NaN,NaN,NaN,NaN,1
hh вакансии,NaN,NaN,NaN,NaN,1
авто работа подработка,['подработка'],NaN,NaN,NaN,0
автокурьер выходного дня,"['по выходным', 'на неполный день']",NaN,NaN,NaN,0
банки работа с юридическими лицами,NaN,NaN,NaN,NaN,1
бизнес такси работа водителем,NaN,водитель,NaN,NaN,0
вакансии водитель категории б ц,NaN,водитель,NaN,NaN,0
вакансии водитель межгород,NaN,водитель,NaN,NaN,0
вакансии надеждинский район,NaN,NaN,NaN,NaN,1
вакансия водитель категории в,NaN,водитель,NaN,NaN,0
водитель в компанию категория в,NaN,водитель,NaN,NaN,0
водитель вип такси вакансии,NaN,водитель,NaN,NaN,0
водитель доставка документов,NaN,водитель,NaN,NaN,0
водитель кат b,NaN,водитель,NaN,NaN,0
водитель кат в,NaN,водитель,NaN,NaN,0
водитель категории вс,NaN,водитель,NaN,NaN,0
водитель категории с межгород вакансии,NaN,водитель,NaN,NaN,0
водитель курьер на межгород вакансии,NaN,водитель,NaN,NaN,0
водитель курьер с личным автомобилем подработка,['подработка'],водитель,NaN,NaN,0
водитель межгород на легковом автомобиле,NaN,водитель,NaN,NaN,0
водитель с личным автомобилем,NaN,водитель,NaN,NaN,0
водитель сменный график,NaN,водитель,NaN,NaN,0
день кухонного работника,['на неполный день'],кухонный работник,NaN,NaN,0
заправщик работа,NaN,заправщик азс,NaN,NaN,0
зарплата социального работника,NaN,кухонный работник,NaN,NaN,0
ипотечный брокер вакансии,NaN,NaN,NaN,NaN,1
ишу работу на своем легковом авто,NaN,NaN,NaN,NaN,1
курьер вакансии от прямых работодателей курьер,NaN,курьер,NaN,NaN,0
курьер зоотоваров для интернет магазина,NaN,курьер,NaN,NaN,0
нужна сиделка без проживания,NaN,сиделка,NaN,с проживанием,0
обработка отзывов,NaN,рыбообработчик,NaN,NaN,0
объединенные кондитеры вакансии,NaN,кондитер,NaN,NaN,0
переводчик подработка,['подработка'],переводчик,NaN,NaN,0
пеший курьер ежедневные выплаты,NaN,курьер,NaN,с ежедневной оплатой,0
подработка в такси на авто компании,['подработка'],NaN,NaN,NaN,0
подработка на автомобиле компании,['подработка'],NaN,NaN,NaN,0
